lon,lat,alt,time,vel,moving,s,elapsed,asc,desc
-3.164078,51.093355,280.4,2019-08-03 10:34:47+00:00,9.347867325923513,1,0.5702338911829298,139.0,23.0,-7.2000000000000455
-3.164256,51.093406,281.6,2019-08-03 10:34:52+00:00,9.878216555566537,1,0.5839536363989944,144.0,24.200000000000045,-7.2000000000000455
-3.164284,51.093419,281.8,2019-08-03 10:34:53+00:00,8.786182490816731,1,0.5863942426464436,145.0,24.400000000000034,-7.2000000000000455
-3.16431,51.093431,281.8,2019-08-03 10:34:54+00:00,8.11418745104833,1,0.5886481836050681,146.0,24.400000000000034,-7.2000000000000455
-3.164338,51.093448,282.2,2019-08-03 10:34:55+00:00,9.899090339468382,1,0.5913979309215871,147.0,24.80000000000001,-7.2000000000000455
-3.164365,51.093462,282.4,2019-08-03 10:34:56+00:00,8.834450732502171,1,0.5938519450139488,148.0,25.0,-7.2000000000000455
-3.164393,51.093476,282.8,2019-08-03 10:34:57+00:00,9.114880507248243,1,0.5963838562659622,149.0,25.400000000000034,-7.2000000000000455
-3.164428,51.093481,283.0,2019-08-03 10:34:58+00:00,9.055336421726029,1,0.5988992274942194,150.0,25.600000000000023,-7.2000000000000455
-3.164485,51.093502,284.0,2019-08-03 10:35:00+00:00,8.502089972067349,1,0.6036226108120346,152.0,26.600000000000023,-7.2000000000000455
-3.164641,51.093565,285.0,2019-08-03 10:35:04+00:00,11.695059634811622,1,0.6166171215173808,156.0,27.600000000000023,-7.2000000000000455
-3.164789,51.093623,286.2,2019-08-03 10:35:08+00:00,11.020669536289683,1,0.6288623098910361,160.0,28.80000000000001,-7.2000000000000455
-3.164956,51.09369,287.4,2019-08-03 10:35:12+00:00,12.505392563131249,1,0.6427571905167374,164.0,30.0,-7.2000000000000455
-3.16512,51.093769,288.6,2019-08-03 10:35:16+00:00,13.039014163673505,1,0.6572449840319302,168.0,31.200000000000045,-7.2000000000000455
-3.16522,51.093862,289.6,2019-08-03 10:35:19+00:00,15.026238076439427,1,0.6697668490956297,171.0,32.200000000000045,-7.2000000000000455
-3.165385,51.093973,290.8,2019-08-03 10:35:24+00:00,12.191580197688452,1,0.686699599370197,176.0,33.400000000000034,-7.2000000000000455
-3.165526,51.094074,292.0,2019-08-03 10:35:29+00:00,10.791681576852934,1,0.7016880460047149,181.0,34.60000000000002,-7.2000000000000455
-3.165612,51.094133,292.8,2019-08-03 10:35:32+00:00,10.719355555943718,1,0.7106208423013347,184.0,35.400000000000034,-7.2000000000000455
-3.165667,51.094162,293.2,2019-08-03 10:35:34+00:00,9.058376597765324,1,0.7156532737445377,186.0,35.80000000000001,-7.2000000000000455
-3.165927,51.094301,294.2,2019-08-03 10:35:41+00:00,12.277246780015295,1,0.7395256980390119,193.0,36.80000000000001,-7.2000000000000455
-3.166138,51.094424,295.2,2019-08-03 10:35:47+00:00,12.080916976667362,1,0.7596605596667908,199.0,37.80000000000001,-7.2000000000000455
-3.166256,51.094501,296.4,2019-08-03 10:35:51+00:00,10.752401411436226,1,0.7716076723461645,203.0,39.0,-7.2000000000000455
-3.166433,51.0946,297.4,2019-08-03 10:35:56+00:00,11.942555490023258,1,0.7881945549711968,208.0,40.0,-7.2000000000000455
-3.166487,51.094643,298.6,2019-08-03 10:35:58+00:00,11.17500778759833,1,0.7944028926309736,210.0,41.200000000000045,-7.2000000000000455
-3.166719,51.094723,299.6,2019-08-03 10:36:03+00:00,13.330997867552028,1,0.8129181674470181,215.0,42.200000000000045,-7.2000000000000455
-3.167012,51.094812,301.0,2019-08-03 10:36:09+00:00,13.667092682262535,1,0.835696655250789,221.0,43.60000000000002,-7.2000000000000455
-3.1672,51.094901,302.0,2019-08-03 10:36:13+00:00,14.82833015244889,1,0.8521725776423987,225.0,44.60000000000002,-7.2000000000000455
-3.167388,51.094959,303.0,2019-08-03 10:36:17+00:00,13.19902883732187,1,0.8668381652394231,229.0,45.60000000000002,-7.2000000000000455
-3.167994,51.09511,303.8,2019-08-03 10:36:30+00:00,12.613388953224367,1,0.9123865142371779,242.0,46.400000000000034,-7.2000000000000455
-3.168099,51.095154,304.2,2019-08-03 10:36:33+00:00,10.591811903557552,1,0.9212130241568092,245.0,46.80000000000001,-7.2000000000000455
-3.168409,51.095312,305.0,2019-08-03 10:36:41+00:00,12.554875965053764,1,0.9491127485235953,253.0,47.60000000000002,-7.2000000000000455
-3.168484,51.095352,305.2,2019-08-03 10:36:43+00:00,12.377013306702967,1,0.9559888670273192,255.0,47.80000000000001,-7.2000000000000455
-3.168747,51.095427,306.0,2019-08-03 10:36:49+00:00,12.115464237566012,1,0.9761813074232625,261.0,48.60000000000002,-7.2000000000000455
-3.16883,51.095454,306.4,2019-08-03 10:36:51+00:00,11.774954997273237,1,0.9827229490884143,263.0,49.0,-7.2000000000000455
-3.169037,51.095567,307.4,2019-08-03 10:36:57+00:00,11.510734025352779,1,1.0019075057973357,269.0,50.0,-7.2000000000000455
-3.169112,51.095637,308.6,2019-08-03 10:37:00+00:00,11.352911555541505,1,1.0113682654269536,272.0,51.200000000000045,-7.2000000000000455
-3.169182,51.095735,309.6,2019-08-03 10:37:04+00:00,10.789604314391257,1,1.023356714665166,276.0,52.200000000000045,-7.2000000000000455
-3.169264,51.095844,310.8,2019-08-03 10:37:09+00:00,9.692820771675816,1,1.036818965736938,281.0,53.400000000000034,-7.2000000000000455
-3.169342,51.095972,311.6,2019-08-03 10:37:14+00:00,10.990729223693727,1,1.0520838674365127,286.0,54.200000000000045,-7.2000000000000455
-3.169362,51.096027,312.0,2019-08-03 10:37:16+00:00,11.317821946074485,1,1.058371546295443,288.0,54.60000000000002,-7.2000000000000455
-3.169393,51.096175,313.2,2019-08-03 10:37:22+00:00,9.987971658732556,1,1.075018165726664,294.0,55.80000000000001,-7.2000000000000455
-3.1694,51.096204,313.4,2019-08-03 10:37:23+00:00,11.766740322028319,1,1.078286704705005,295.0,56.0,-7.2000000000000455
-3.169409,51.096231,313.6,2019-08-03 10:37:24+00:00,11.068988903110345,1,1.081361423844758,296.0,56.200000000000045,-7.2000000000000455
-3.169423,51.096257,313.8,2019-08-03 10:37:25+00:00,11.013490011981439,1,1.084420726625864,297.0,56.400000000000034,-7.2000000000000455
-3.169453,51.096341,314.4,2019-08-03 10:37:28+00:00,11.512698457969966,1,1.0940146420075056,300.0,57.0,-7.2000000000000455
-3.169521,51.096437,315.4,2019-08-03 10:37:32+00:00,10.556330785793174,1,1.1057438984361647,304.0,58.0,-7.2000000000000455
-3.169568,51.096522,316.4,2019-08-03 10:37:36+00:00,9.052085976481337,1,1.1158017717433664,308.0,59.0,-7.2000000000000455
-3.169594,51.096581,317.4,2019-08-03 10:37:39+00:00,8.258478943291964,1,1.122683837529443,311.0,60.0,-7.2000000000000455
-3.169613,51.096656,318.6,2019-08-03 10:37:43+00:00,7.678532021722959,1,1.131215539775802,315.0,61.200000000000045,-7.2000000000000455
-3.169661,51.096726,319.6,2019-08-03 10:37:46+00:00,10.243036282671484,1,1.139751403344695,318.0,62.200000000000045,-7.2000000000000455
-3.169774,51.096823,320.8,2019-08-03 10:37:51+00:00,9.66366102658023,1,1.1531731547705009,323.0,63.400000000000034,-7.2000000000000455
-3.169858,51.096892,321.8,2019-08-03 10:37:55+00:00,8.740983721342616,1,1.162885358905326,327.0,64.40000000000003,-7.2000000000000455
-3.170044,51.096962,323.0,2019-08-03 10:38:00+00:00,10.939672024513326,1,1.1780793478282612,332.0,65.60000000000002,-7.2000000000000455
-3.170159,51.097038,324.2,2019-08-03 10:38:04+00:00,10.550470244401879,1,1.1898020925442634,336.0,66.80000000000001,-7.2000000000000455
-3.170365,51.097146,325.6,2019-08-03 10:38:11+00:00,9.666759872453971,1,1.208598570074035,343.0,68.20000000000005,-7.2000000000000455
-3.170503,51.097254,326.6,2019-08-03 10:38:17+00:00,9.2605416286193,1,1.2240328061217338,349.0,69.20000000000005,-7.2000000000000455
-3.170564,51.097322,327.0,2019-08-03 10:38:20+00:00,10.42825538401141,1,1.2327230189417433,352.0,69.60000000000002,-7.2000000000000455
-3.170587,51.097346,327.2,2019-08-03 10:38:21+00:00,11.239195307646101,1,1.2358450176383118,353.0,69.80000000000001,-7.2000000000000455
